,Area,Date,Unadjusted CPI Index
529,"New York-Newark-Jersey City, NY-NJ-PA",2021-11-01,297.49
530,"Atlanta-Sandy Springs-Roswell, GA",2021-11-01,
531,"Baltimore-Columbia-Towson, MD(6)",2021-11-01,
532,"Detroit-Warren-Dearborn, MI",2021-11-01,
533,"Houston-The Woodlands-Sugar Land, TX",2021-11-01,
534,"Miami-Fort Lauderdale-West Palm Beach, FL",2021-11-01,
535,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2021-11-01,
536,"Phoenix-Mesa-Scottsdale, AZ(7)",2021-11-01,
537,"San Francisco-Oakland-Hayward, CA",2021-11-01,
538,"Seattle-Tacoma-Bellevue, WA",2021-11-01,
539,"St. Louis, MO-IL",2021-11-01,
540,Urban Alaska,2021-11-01,
541,"Boston-Cambridge-Newton, MA-NH",2021-11-01,299.723
542,"Dallas-Fort Worth-Arlington, TX",2021-11-01,257.394
543,"Denver-Aurora-Lakewood, CO",2021-11-01,289.621
544,"Minneapolis-St.Paul-Bloomington, MN-WI",2021-11-01,272.859
545,"Riverside-San Bernardino-Ontario, CA(4)",2021-11-01,117.206
546,"San Diego-Carlsbad, CA",2021-11-01,326.422
547,"Tampa-St. Petersburg-Clearwater, FL(8)",2021-11-01,255.851
548,Urban Hawaii,2021-11-01,302.332
549,"Washington-Arlington-Alexandria, DC-VA-MD-WV(6)",2021-11-01,284.24
550,U.S. city average,2021-12-01,278.802
551,Region and area size(2),2021-12-01,
552,Northeast,2021-12-01,290.405
553,Northeast - Size Class A,2021-12-01,292.091
554,Northeast - Size Class B/C(3),2021-12-01,172.337
555,New England(4),2021-12-01,111.635
556,Middle Atlantic(4),2021-12-01,111.263
557,Midwest,2021-12-01,259.609
558,Midwest - Size Class A,2021-12-01,259.128
559,Midwest - Size Class B/C(3),2021-12-01,166.408
560,East North Central(4),2021-12-01,112.265
561,West North Central(4),2021-12-01,113.381
562,South,2021-12-01,269.263
563,South - Size Class A,2021-12-01,273.751
564,South - Size Class B/C(3),2021-12-01,170.309
565,South Atlantic(4),2021-12-01,114.096
566,East South Central(4),2021-12-01,111.575
567,West South Central(4),2021-12-01,111.325
568,West,2021-12-01,296.102
569,West - Size Class A,2021-12-01,304.574
570,West - Size Class B/C(3),2021-12-01,172.722
571,Mountain(4),2021-12-01,116.728
572,Pacific(4),2021-12-01,114.454
573,Size classes,2021-12-01,
574,Size Class A(5),2021-12-01,256.011
575,Size Class B/C(3),2021-12-01,170.304
576,Selected local areas,2021-12-01,
577,"Chicago-Naperville-Elgin, IL-IN-WI",2021-12-01,260.368
578,"Los Angeles-Long Beach-Anaheim, CA",2021-12-01,297.925
579,"New York-Newark-Jersey City, NY-NJ-PA",2021-12-01,296.865
580,"Atlanta-Sandy Springs-Roswell, GA",2021-12-01,273.424
581,"Baltimore-Columbia-Towson, MD(6)",2021-12-01,282.455
582,"Detroit-Warren-Dearborn, MI",2021-12-01,255.782
583,"Houston-The Woodlands-Sugar Land, TX",2021-12-01,245.509
584,"Miami-Fort Lauderdale-West Palm Beach, FL",2021-12-01,293.284
585,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2021-12-01,277.163
586,"Phoenix-Mesa-Scottsdale, AZ(7)",2021-12-01,159.85
587,"San Francisco-Oakland-Hayward, CA",2021-12-01,315.805
588,"Seattle-Tacoma-Bellevue, WA",2021-12-01,304.856
589,"St. Louis, MO-IL",2021-12-01,253.618
590,Urban Alaska,2021-12-01,243.568
591,"Boston-Cambridge-Newton, MA-NH",2021-12-01,
592,"Dallas-Fort Worth-Arlington, TX",2021-12-01,
593,"Denver-Aurora-Lakewood, CO",2021-12-01,
594,"Minneapolis-St.Paul-Bloomington, MN-WI",2021-12-01,
595,"Riverside-San Bernardino-Ontario, CA(4)",2021-12-01,
596,"San Diego-Carlsbad, CA",2021-12-01,
597,"Tampa-St. Petersburg-Clearwater, FL(8)",2021-12-01,
598,Urban Hawaii,2021-12-01,
599,"Washington-Arlington-Alexandria, DC-VA-MD-WV(6)",2021-12-01,
