,Area,Date,Unadjusted CPI Index
191,"Boston-Cambridge-Newton, MA-NH",2020-04-01,
192,"Dallas-Fort Worth-Arlington, TX",2020-04-01,
193,"Denver-Aurora-Lakewood, CO",2020-04-01,
194,"Minneapolis-St.Paul-Bloomington, MN-WI",2020-04-01,
195,"Riverside-San Bernardino-Ontario, CA(4)",2020-04-01,
196,"San Diego-Carlsbad, CA",2020-04-01,
197,"Tampa-St. Petersburg-Clearwater, FL(8)",2020-04-01,
198,Urban Hawaii,2020-04-01,
199,"Washington-Arlington-Alexandria, DC-VA-MD-WV(6)",2020-04-01,
200,U.S. city average,2020-05-01,256.394
201,Region and area size(2),2020-05-01,
202,Northeast,2020-05-01,271.345
203,Northeast - Size Class A,2020-05-01,275.453
204,Northeast - Size Class B/C(3),2020-05-01,159.111
205,New England(4),2020-05-01,104.113
206,Middle Atlantic(4),2020-05-01,104.033
207,Midwest,2020-05-01,237.291
208,Midwest - Size Class A,2020-05-01,238.701
209,Midwest - Size Class B/C(3),2020-05-01,151.407
210,East North Central(4),2020-05-01,102.887
211,West North Central(4),2020-05-01,103.019
212,South,2020-05-01,245.696
213,South - Size Class A,2020-05-01,250.717
214,South - Size Class B/C(3),2020-05-01,155.055
215,South Atlantic(4),2020-05-01,104.071
216,East South Central(4),2020-05-01,101.703
217,West South Central(4),2020-05-01,101.695
218,West,2020-05-01,273.062
219,West - Size Class A,2020-05-01,282.345
220,West - Size Class B/C(3),2020-05-01,158.301
221,Mountain(4),2020-05-01,106.425
222,Pacific(4),2020-05-01,105.988
223,Size classes,2020-05-01,
224,Size Class A(5),2020-05-01,237.26
225,Size Class B/C(3),2020-05-01,155.603
226,Selected local areas,2020-05-01,
227,"Chicago-Naperville-Elgin, IL-IN-WI",2020-05-01,242.65
228,"Los Angeles-Long Beach-Anaheim, CA",2020-05-01,276.842
229,"New York-Newark-Jersey City, NY-NJ-PA",2020-05-01,282.092
230,"Atlanta-Sandy Springs-Roswell, GA",2020-05-01,
231,"Baltimore-Columbia-Towson, MD(6)",2020-05-01,
232,"Detroit-Warren-Dearborn, MI",2020-05-01,
233,"Houston-The Woodlands-Sugar Land, TX",2020-05-01,
234,"Miami-Fort Lauderdale-West Palm Beach, FL",2020-05-01,
235,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2020-05-01,
236,"Phoenix-Mesa-Scottsdale, AZ(7)",2020-05-01,
237,"San Francisco-Oakland-Hayward, CA",2020-05-01,
238,"Seattle-Tacoma-Bellevue, WA",2020-05-01,
239,"St. Louis, MO-IL",2020-05-01,
240,Urban Alaska,2020-05-01,
241,"Boston-Cambridge-Newton, MA-NH",2020-05-01,282.62
242,"Dallas-Fort Worth-Arlington, TX",2020-05-01,236.317
243,"Denver-Aurora-Lakewood, CO",2020-05-01,271.379
244,"Minneapolis-St.Paul-Bloomington, MN-WI",2020-05-01,251.243
245,"Riverside-San Bernardino-Ontario, CA(4)",2020-05-01,106.899
246,"San Diego-Carlsbad, CA",2020-05-01,301.317
247,"Tampa-St. Petersburg-Clearwater, FL(8)",2020-05-01,231.032
248,Urban Hawaii,2020-05-01,285.834
249,"Washington-Arlington-Alexandria, DC-VA-MD-WV(6)",2020-05-01,265.733
250,U.S. city average,2020-06-01,257.797
251,Region and area size(2),2020-06-01,
252,Northeast,2020-06-01,272.283
253,Northeast - Size Class A,2020-06-01,276.165
254,Northeast - Size Class B/C(3),2020-06-01,159.843
255,New England(4),2020-06-01,104.596
256,Middle Atlantic(4),2020-06-01,104.347
257,Midwest,2020-06-01,239.259
258,Midwest - Size Class A,2020-06-01,240.625
259,Midwest - Size Class B/C(3),2020-06-01,152.683
260,East North Central(4),2020-06-01,103.724
261,West North Central(4),2020-06-01,103.91
262,South,2020-06-01,247.223
263,South - Size Class A,2020-06-01,251.967
264,South - Size Class B/C(3),2020-06-01,156.135
265,South Atlantic(4),2020-06-01,104.694
266,East South Central(4),2020-06-01,102.401
267,West South Central(4),2020-06-01,102.344
268,West,2020-06-01,274.155
269,West - Size Class A,2020-06-01,283.59
270,West - Size Class B/C(3),2020-06-01,158.857
271,Mountain(4),2020-06-01,107.226
272,Pacific(4),2020-06-01,106.277
273,Size classes,2020-06-01,
274,Size Class A(5),2020-06-01,238.371
275,Size Class B/C(3),2020-06-01,156.558
276,Selected local areas,2020-06-01,
277,"Chicago-Naperville-Elgin, IL-IN-WI",2020-06-01,243.475
278,"Los Angeles-Long Beach-Anaheim, CA",2020-06-01,278.121
279,"New York-Newark-Jersey City, NY-NJ-PA",2020-06-01,282.333
280,"Atlanta-Sandy Springs-Roswell, GA",2020-06-01,245.184
281,"Baltimore-Columbia-Towson, MD(6)",2020-06-01,257.942
282,"Detroit-Warren-Dearborn, MI",2020-06-01,236.118
283,"Houston-The Woodlands-Sugar Land, TX",2020-06-01,228.898
284,"Miami-Fort Lauderdale-West Palm Beach, FL",2020-06-01,271.072
285,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2020-06-01,257.983
286,"Phoenix-Mesa-Scottsdale, AZ(7)",2020-06-01,145.849
287,"San Francisco-Oakland-Hayward, CA",2020-06-01,300.032
288,"Seattle-Tacoma-Bellevue, WA",2020-06-01,281.055
289,"St. Louis, MO-IL",2020-06-01,233.518
290,Urban Alaska,2020-06-01,225.245
291,"Boston-Cambridge-Newton, MA-NH",2020-06-01,
292,"Dallas-Fort Worth-Arlington, TX",2020-06-01,
293,"Denver-Aurora-Lakewood, CO",2020-06-01,
294,"Minneapolis-St.Paul-Bloomington, MN-WI",2020-06-01,
295,"Riverside-San Bernardino-Ontario, CA(4)",2020-06-01,
296,"San Diego-Carlsbad, CA",2020-06-01,
297,"Tampa-St. Petersburg-Clearwater, FL(8)",2020-06-01,
298,Urban Hawaii,2020-06-01,
299,"Washington-Arlington-Alexandria, DC-VA-MD-WV(6)",2020-06-01,
300,U.S. city average,2020-07-01,259.101
301,Region and area size(2),2020-07-01,
302,Northeast,2020-07-01,273.347
303,Northeast - Size Class A,2020-07-01,277.028
304,Northeast - Size Class B/C(3),2020-07-01,160.631
305,New England(4),2020-07-01,104.651
306,Middle Atlantic(4),2020-07-01,104.887
307,Midwest,2020-07-01,240.43
308,Midwest - Size Class A,2020-07-01,240.885
309,Midwest - Size Class B/C(3),2020-07-01,153.776
310,East North Central(4),2020-07-01,104.254
311,West North Central(4),2020-07-01,104.369
312,South,2020-07-01,248.619
313,South - Size Class A,2020-07-01,253.283
314,South - Size Class B/C(3),2020-07-01,157.057
315,South Atlantic(4),2020-07-01,105.13
316,East South Central(4),2020-07-01,103.319
317,West South Central(4),2020-07-01,103.058
318,West,2020-07-01,275.597
319,West - Size Class A,2020-07-01,284.994
320,West - Size Class B/C(3),2020-07-01,159.752
321,Mountain(4),2020-07-01,107.573
322,Pacific(4),2020-07-01,106.914
323,Size classes,2020-07-01,
324,Size Class A(5),2020-07-01,239.322
325,Size Class B/C(3),2020-07-01,157.492
326,Selected local areas,2020-07-01,
327,"Chicago-Naperville-Elgin, IL-IN-WI",2020-07-01,244.046
328,"Los Angeles-Long Beach-Anaheim, CA",2020-07-01,279.899
329,"New York-Newark-Jersey City, NY-NJ-PA",2020-07-01,283.624
330,"Atlanta-Sandy Springs-Roswell, GA",2020-07-01,
331,"Baltimore-Columbia-Towson, MD(6)",2020-07-01,
332,"Detroit-Warren-Dearborn, MI",2020-07-01,
333,"Houston-The Woodlands-Sugar Land, TX",2020-07-01,
334,"Miami-Fort Lauderdale-West Palm Beach, FL",2020-07-01,
335,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2020-07-01,
336,"Phoenix-Mesa-Scottsdale, AZ(7)",2020-07-01,
337,"San Francisco-Oakland-Hayward, CA",2020-07-01,
338,"Seattle-Tacoma-Bellevue, WA",2020-07-01,
339,"St. Louis, MO-IL",2020-07-01,
340,Urban Alaska,2020-07-01,
341,"Boston-Cambridge-Newton, MA-NH",2020-07-01,283.175
342,"Dallas-Fort Worth-Arlington, TX",2020-07-01,239.888
343,"Denver-Aurora-Lakewood, CO",2020-07-01,275.589
344,"Minneapolis-St.Paul-Bloomington, MN-WI",2020-07-01,250.986
345,"Riverside-San Bernardino-Ontario, CA(4)",2020-07-01,107.64
346,"San Diego-Carlsbad, CA",2020-07-01,305.611
347,"Tampa-St. Petersburg-Clearwater, FL(8)",2020-07-01,233.447
348,Urban Hawaii,2020-07-01,285.725
349,"Washington-Arlington-Alexandria, DC-VA-MD-WV(6)",2020-07-01,267.287
350,U.S. city average,2020-08-01,259.918
351,Region and area size(2),2020-08-01,
352,Northeast,2020-08-01,273.597
353,Northeast - Size Class A,2020-08-01,277.194
